ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
8773,0,0,0,0,1,0,0.2,0.2,0,0.4,2,3,11,3,7,2,0,0
6709,0,0,0,0,1,0,0.2,0.2,0,0,9,1,10,0,8,2,0,0
1463,9,301,0,0,38,2621.621429,0.021212,0.044508,10.721172,0,8,1,10,0,14,2,0,0
4095,2,13.333333,0,0,105,2062.443592,0.012205,0.020276,0,0.6,2,5,10,0,7,2,0,0
3346,0,0,0,0,19,220.384849,0.010526,0.024642,0,0,2,1,1,0,7,2,0,0
8438,0,0,0,0,12,460.2,0.061111,0.111111,0,0,4,1,10,1,7,2,0,0
8962,11,192.847619,0,0,186,6975.887249,0.003163,0.009297,14.458295,0,8,3,3,6,4,2,0,1
1700,7,98.466667,0,0,13,257.933333,0,0.016,0,0,6,1,10,6,7,2,0,0
6204,1,10,0,0,11,753.5,0.02,0.04,0,0,8,1,10,5,4,2,0,0
3935,3,922.75,0,0,56,4681.420833,0.007119,0.022669,0,0,8,1,10,0,14,2,0,0
5116,1,21,0,0,16,375.916667,0,0.007143,0,0,9,3,3,0,4,1,0,0
2031,0,0,0,0,9,1726.5,0,0.05,0,0,9,1,1,3,8,2,0,0
7274,0,0,0,0,2,12,0,0.1,0,0,5,3,3,0,7,2,1,0
2633,4,106.5,0,0,12,806.25,0.0125,0.029167,0,0,9,1,10,0,4,2,0,0
3557,0,0,0,0,11,300.071429,0,0.02,53.9892,0,1,1,10,0,15,2,1,1
1501,4,117.32,2,15,230,6978.613711,0.015328,0.036531,0,0,4,1,10,1,8,2,1,0
8546,7,144.461538,4,167.166667,111,2312.337853,0.005128,0.013888,8.191923,0,8,3,3,0,4,2,0,1
653,2,50.5,0,0,29,2147.375,0,0.006897,0,0,9,1,10,3,4,1,0,0
3966,2,256,0,0,14,574.5,0,0.014286,0,0,2,5,9,7,15,1,0,0
5558,10,1751.047619,3,69,22,1552.547619,0.013725,0.07049,4.279294,0,2,1,1,5,12,2,0,0
702,1,37.2,0,0,14,387.766667,0.013333,0.031111,0,0,7,3,11,6,8,2,0,0
6194,0,0,0,0,7,259,0.028571,0.057143,0,0,8,1,10,7,4,2,0,0
1885,3,30.5,0,0,23,422.730303,0.008333,0.0125,0,0,2,1,10,0,7,2,0,0
4856,2,49,1,127,4,188,0.033333,0.0375,0,0,1,5,10,6,4,2,0,0
4631,5,33,0,0,54,1835.066667,0.003774,0.011321,0,0,2,1,10,2,7,2,0,0
8274,0,0,0,0,1,0,0.2,0.2,0,0,1,1,10,0,8,2,0,0
1039,0,0,0,0,25,612.583333,0.008333,0.0125,0,0.8,2,5,10,0,14,2,0,0
2710,0,0,0,0,27,2098.238095,0.037037,0.043519,0,0.8,2,1,10,0,12,2,0,0
8066,5,85.333333,3,8,213,8591.591742,0.003994,0.015877,8.024866,0,8,1,10,0,5,2,0,1
7869,0,0,0,0,1,0,0.2,0.2,0,0,2,1,10,1,12,2,0,0
1464,10,593.466667,1,21.2,39,1110.966667,0.004255,0.010993,112.440621,0,6,0,10,3,4,2,0,0
2275,15,169.033333,0,0,223,2477.53655,0,0.003694,0.179827,0,7,1,10,3,12,2,1,0
2659,0,0,0,0,9,79.75,0,0.025,0,0,9,1,1,0,4,2,1,0
873,3,49.2,0,0,17,300.766667,0.004762,0.022222,0,0,4,3,3,6,7,2,0,0
7178,1,58.5,0,0,23,1033,0.008333,0.0375,0,0,9,1,10,6,4,2,0,0
7053,0,0,0,0,5,102,0,0.01,0,0,2,1,10,4,7,2,0,0
5051,2,27.375,0,0,39,1157.416667,0.010833,0.045714,0,0,9,1,10,2,8,2,1,0
2223,1,85,0,0,14,306.5,0,0.004444,0,0,1,1,10,6,4,2,0,0
2419,0,0,0,0,1,0,0.2,0.2,0,0,8,1,10,6,8,2,0,0
510,1,154.5,0,0,9,308.333333,0,0.0125,0,0,8,3,10,5,5,2,1,0
7205,0,0,0,0,2,54,0.05,0.15,0,0,2,3,3,0,8,2,0,0
1543,0,0,0,0,13,173.25,0.046154,0.061538,0,0,9,1,10,6,8,2,0,0
3035,0,0,0,0,2,135,0,0.1,0,0,1,3,3,0,4,2,0,0
7648,2,45.5,0,0,22,535,0,0.025,9.65025,0,8,1,10,6,15,2,1,1
1175,0,0,2,6,1,25,0,0.066667,0,1,2,5,10,0,4,2,1,0
7043,0,0,0,0,4,36.5,0,0.05,0,0,1,1,10,3,8,2,0,0
143,0,0,0,0,14,158.5,0,0.028571,0,0,2,1,10,1,2,2,1,0
6416,11,194.575,0,0,81,2126.077501,0.011728,0.021291,0,0,8,5,10,0,4,2,1,0
1668,0,0,0,0,1,0,0.2,0.2,0,0,3,1,10,0,12,2,0,0
3012,0,0,1,21,15,498.5,0,0.026667,32.1908,0,2,1,1,0,4,2,0,1
8278,3,61,4,31,1,43,0,0.025,0,0,9,4,5,4,18,0,0,0
1064,11,211.033333,3,173.233333,62,1340.676667,0.000391,0.019726,17.42324,0,5,1,10,3,4,2,0,0
3320,6,86.5,1,2,39,1050.708333,0.021163,0.018042,13.402983,0,2,5,10,1,12,2,0,1
5778,6,80.5,1,10.066667,23,477.7,0,0.007143,0,0,4,0,10,3,4,1,1,0
4558,0,0,0,0,9,127.5,0,0.022222,0,0,2,1,6,5,15,2,0,0
6155,0,0,0,0,5,54.5,0,0.04,0,0,9,1,7,0,4,1,0,0
8173,2,10.666667,0,0,34,541.5,0.017143,0.033524,0,0,2,5,10,2,14,2,0,0
5662,0,0,0,0,10,1186.6,0.02,0.08,0,0,5,1,7,0,12,2,0,0
7896,2,6,1,35,12,240,0.014286,0.042857,0,0,1,1,10,3,5,2,0,0
8052,0,0,0,0,12,599.613333,0,0.020833,0,0,8,1,10,2,18,2,1,0
7108,1,15.2,2,55.4,52,3019.805397,0,0.002725,0,0,8,1,8,0,8,2,0,0
8061,0,0,0,0,8,111.666667,0,0.025,0,0,1,1,10,0,8,2,0,0
2591,4,122.5,0,0,66,1706.712281,0,0.009573,0,0,2,1,10,0,7,2,0,0
1746,16,825.940018,1,120.8,109,2110.422354,0.005178,0.014937,2.491316,0,5,1,10,3,8,2,0,0
3216,0,0,0,0,3,190,0.033333,0.1,0,0,1,1,10,2,8,2,0,0
2029,3,29,0,0,57,1191.8875,0.019298,0.030733,0,0,8,1,10,0,4,2,1,0
8526,0,0,0,0,15,865,0.026667,0.04,57.584,0,2,1,10,0,7,2,0,0
3132,0,0,0,0,4,113.5,0.026667,0.046667,0,0.8,2,1,10,5,7,2,0,0
4103,0,0,0,0,1,0,0.2,0.2,0,0,2,1,10,0,12,2,0,0
6432,5,248.921429,0,0,131,6225.988835,0.003562,0.025012,7.963976,0,8,1,10,5,4,2,1,1
2724,1,174,0,0,9,272,0.013333,0.073333,0,0,2,3,3,6,7,2,0,0
3704,9,57.958333,0,0,32,498.2,0,0.010676,27.61403,0,8,1,10,0,4,2,0,0
1223,0,0,0,0,60,2606.779545,0.006667,0.021944,0,0,9,1,10,6,4,2,0,0
8794,2,55,0,0,46,1425.75,0.008889,0.029259,0,0.4,2,3,3,3,6,2,0,0
2109,0,0,0,0,10,274.3,0,0.06,0,0,3,1,10,2,12,2,0,0
4749,0,0,0,0,4,6,0.1,0.15,0,0.2,2,1,10,6,14,2,0,0
8076,1,5,0,0,31,1263.9,0,0.009111,0,0,9,1,10,3,4,2,0,0
3354,0,0,1,0,13,1297.25,0.028571,0.064286,0,0,9,3,11,6,8,2,1,0
4330,2,216.6,0,0,36,937.865349,0.040351,0.069414,0,0,7,5,10,1,8,2,1,0
6925,1,73,0,0,23,1280.45,0,0.008696,36.546804,0,9,1,1,0,4,1,0,1
3238,7,290.666667,0,0,35,1384.533333,0.001754,0.016886,12.685832,0,2,1,10,5,4,2,1,0
2598,5,271.75,1,0,40,675.202099,0.015,0.019412,0,0,7,1,10,6,4,2,0,0
6725,7,397.630952,1,88.5,107,6449.457197,0.010354,0.031511,5.391767,0,8,1,10,4,8,2,0,1
1696,8,102,0,0,83,1495.580952,0,0.002299,82.123678,0,2,0,3,3,7,1,1,1
8833,2,38,0,0,3,33.333333,0,0.030556,0,0,8,1,10,7,5,2,0,1
988,1,30,0,0,16,597.6,0,0.0125,0,0,1,3,3,6,4,2,0,0
8131,0,0,0,0,1,0,0.2,0.2,0,0,9,3,3,0,12,2,0,0
921,0,0,0,0,42,844.58,0.059524,0.085397,0,0,7,5,10,0,12,2,0,0
5266,3,118,0,0,16,859.166667,0,0.014815,9.991667,0,2,5,10,5,4,2,0,0
7063,2,45,2,55.5,4,77.5,0,0.033333,0,0,2,3,3,5,7,2,1,0
6873,1,57,3,144,15,280.083333,0.010526,0.021053,0,0,2,5,10,1,7,2,1,0
5404,1,90,1,34,57,1092.364286,0,0.006322,19.115069,0.6,2,1,10,3,7,2,0,1
3314,0,0,0,0,25,585,0,0.016,0,0,1,0,3,0,12,2,0,0
4615,0,0,0,0,37,1643.435516,0.005556,0.032271,2.188719,0,1,1,1,6,4,2,1,1
7266,6,160,0,0,55,1707.666667,0,0.005357,24.102064,0,9,1,10,0,4,1,0,1
2524,9,164.583333,1,0,76,3580.333333,0.004819,0.020522,12.207801,0,8,0,3,0,8,2,0,0
4639,2,127,0,0,19,1431.666667,0,0.01,0,0.2,2,1,10,2,4,2,0,0
5469,12,152.75,1,0,219,7044.064508,0.003312,0.015736,11.657984,0,8,1,10,0,8,2,0,1
6785,2,28.2,1,0,114,3161.074762,0.017699,0.042576,0,0,5,1,10,5,8,2,0,0
3494,0,0,0,0,16,219.55,0,0.014583,0,0,8,0,3,0,18,2,0,0
8222,7,190.583333,2,1131,46,5492.366667,0.019091,0.043948,8.567143,0,2,1,8,1,2,2,0,0
3152,5,150.2,2,20,22,392.6,0.028,0.06,0,0,7,1,10,3,12,2,0,0
245,2,50.5,1,7,27,916.922222,0,0.009677,0,0,8,3,10,0,11,1,1,1
8298,0,0,0,0,5,126.083333,0.04,0.053333,0,0,8,5,10,3,14,2,0,0
4687,3,258,2,34.625,25,1364.8125,0.029762,0.035714,3.186935,0,9,3,3,6,5,2,1,0
4760,1,46.4,0,0,2,689.1,0,0.016667,0,0,5,3,3,0,3,1,0,1
3034,2,42.5,0,0,48,970.419264,0.008571,0.025088,5.540025,0.6,2,1,10,2,7,2,0,1
7870,1,52.5,0,0,19,812.875,0,0.003333,0,0,8,5,9,8,15,2,1,0
8227,4,115.333333,0,0,64,1588.944444,0.003077,0.009214,0,0,1,1,10,0,8,2,0,0
685,5,74.6,3,43.4,67,1207.653333,0.020833,0.047826,0,0,5,1,10,1,8,2,0,0
4743,0,0,0,0,54,1357.61783,0,0.004812,0,0,1,1,10,5,4,2,1,0
1927,0,0,0,0,1,0,0.2,0.2,0,0,2,5,10,4,12,2,0,0
1417,5,55.5,0,0,12,1076.5,0,0.011765,0,0,1,1,10,0,4,1,0,0
8771,8,451.283613,10,961.45,131,2460.323686,0.003082,0.021249,2.325664,0,8,1,10,6,12,2,0,1
4567,1,12,0,0,63,2138.383333,0,0.012283,0,0,9,1,10,3,8,2,0,0
6331,10,60.7,1,110.25,75,1585.60873,0.005063,0.021603,0,0,9,1,10,2,8,2,0,0
7549,0,0,0,0,24,1884.7,0.032,0.068,0,0,6,1,10,2,14,2,0,0
